Number_of_Customers,Food_Prepared_kg,Food_Consumed_kg,Food_Category,Day_of_Week,Holiday_Event,Previous_Food_Waste_kg,Temperature_C,Food_Waste_kg
334,176.7,141.02,Fast Food,Sunday,0,34.82,17.6,37.95
490,250.51,203.78,Catering,Thursday,0,21.98,19.0,50.31
431,222.59,170.81,Bakery,Saturday,0,12.16,27.6,53.49
254,138.85,118.21,Fine Dining,Wednesday,0,29.64,18.8,22.63
159,93.9,79.9,Buffet,Sunday,0,22.28,16.5,16.93
421,217.86,174.7,Buffet,Friday,0,21.18,22.3,46.78
94,63.14,50.09,Buffet,Monday,1,10.37,20.1,19.16
66,49.89,45.63,Catering,Sunday,0,26.96,26.9,9.08
157,92.95,74.76,Fine Dining,Friday,0,4.7,17.4,18.61
260,141.68,117.39,Bakery,Saturday,0,32.5,32.3,27.06
270,146.42,114.55,Buffet,Saturday,0,12.75,35.8,35.57
92,62.2,55.55,Catering,Monday,0,6.22,32.1,9.72
334,176.7,142.67,Bakery,Tuesday,0,16.6,27.3,36.9
360,189.0,157.44,Buffet,Monday,0,3.4,34.8,36.27
440,226.85,175.98,Buffet,Thursday,0,24.59,31.0,54.28
272,147.36,138.12,Buffet,Sunday,0,31.79,15.2,13.28
197,111.88,87.73,Fast Food,Wednesday,0,29.63,24.1,25.42
476,243.88,216.95,Fine Dining,Tuesday,1,6.2,34.6,30.92
308,164.4,133.83,Fast Food,Monday,0,6.17,23.0,31.12
60,47.06,36.02,Fast Food,Friday,0,28.84,15.8,12.18
442,227.8,204.09,Fine Dining,Tuesday,0,32.5,32.2,25.21
92,62.2,49.35,Buffet,Sunday,0,17.2,33.4,17.12
314,167.23,152.24,Fast Food,Tuesday,0,18.47,18.7,15.45
352,185.21,170.64,Fast Food,Sunday,0,12.5,27.4,15.25
320,170.07,154.62,Fast Food,Monday,1,31.51,19.4,18.45
253,138.37,100.69,Bakery,Sunday,0,23.28,31.5,39.84
70,51.79,46.26,Buffet,Tuesday,0,11.51,21.2,7.71
376,196.57,159.32,Fine Dining,Friday,0,11.86,22.3,38.14
222,123.71,112.85,Fine Dining,Saturday,0,31.41,34.4,13.11
62,48.0,41.3,Buffet,Tuesday,0,2.45,26.0,10.73
71,52.26,47.21,Fine Dining,Sunday,0,12.65,30.4,5.09
485,248.14,205.93,Buffet,Saturday,0,20.29,24.3,46.02
113,72.13,60.42,Buffet,Sunday,1,6.89,21.9,16.22
49,41.85,31.46,Catering,Friday,0,5.04,29.4,15.48
495,252.87,225.68,Catering,Sunday,0,28.9,18.6,31.79
93,62.67,50.9,Bakery,Monday,0,31.52,23.6,14.29
91,61.72,51.23,Fast Food,Wednesday,0,29.18,19.8,11.59
187,107.15,95.66,Buffet,Tuesday,0,31.66,31.0,15.14
199,112.82,96.09,Fine Dining,Wednesday,0,20.25,36.7,19.09
409,212.18,162.16,Fast Food,Sunday,0,28.8,37.9,51.55
53,43.74,37.17,Buffet,Friday,1,14.67,25.4,10.39
217,121.34,98.25,Fast Food,Tuesday,0,23.99,20.8,24.86
451,232.06,191.05,Buffet,Sunday,0,34.63,25.2,43.49
405,210.29,152.72,Catering,Saturday,1,9.45,34.5,63.47
92,62.2,47.66,Fast Food,Thursday,0,14.87,19.7,14.3
447,230.16,179.95,Fine Dining,Sunday,0,17.84,36.9,51.94
374,195.62,171.53,Fast Food,Wednesday,0,6.55,22.9,24.5
61,47.53,34.34,Fine Dining,Tuesday,0,4.67,37.7,15.62
69,51.31,41.56,Fine Dining,Wednesday,0,29.38,34.3,12.84
230,127.49,117.71,Buffet,Tuesday,1,34.23,33.6,15.55
299,160.14,119.24,Catering,Sunday,0,15.36,22.3,44.14
244,134.11,111.8,Bakery,Monday,0,4.89,15.2,26.75
98,65.04,58.08,Catering,Saturday,0,4.17,23.8,9.93
303,162.03,150.26,Catering,Sunday,0,31.41,21.9,15.32
51,42.8,37.85,Fine Dining,Wednesday,0,17.31,15.9,5.07
158,93.42,82.07,Catering,Thursday,0,12.56,26.6,14.66
454,233.47,210.55,Buffet,Thursday,1,17.72,24.3,27.61
329,174.33,142.63,Buffet,Friday,0,12.5,29.6,34.75
377,197.04,176.8,Buffet,Tuesday,0,18.14,29.3,23.64
287,154.46,111.48,Fast Food,Wednesday,0,30.37,17.8,44.17
393,204.61,188.94,Fast Food,Friday,0,21.55,37.5,17.19
166,97.21,79.47,Fast Food,Wednesday,0,24.92,19.3,19.03
114,72.61,61.12,Bakery,Tuesday,0,14.03,25.2,13.15
400,207.92,161.36,Fast Food,Sunday,0,26.37,26.2,48.01
243,133.64,118.05,Fast Food,Sunday,0,24.0,33.7,16.03
88,60.3,44.43,Fine Dining,Thursday,0,5.95,17.3,16.23
118,74.5,67.94,Buffet,Sunday,0,20.9,24.9,8.31
480,245.78,221.74,Bakery,Sunday,1,10.47,29.5,27.34
280,151.15,116.01,Buffet,Monday,0,28.54,19.9,39.31
388,202.25,181.63,Catering,Thursday,0,16.06,29.4,25.31
193,109.98,98.21,Bakery,Friday,0,34.82,36.2,15.66
313,166.76,143.26,Buffet,Saturday,1,5.05,37.9,30.03
135,82.54,66.21,Buffet,Monday,1,27.75,15.7,21.5
253,138.37,107.89,Bakery,Friday,0,24.23,20.4,32.04
333,176.22,135.86,Bakery,Tuesday,1,27.33,22.1,46.41
248,136.01,107.46,Bakery,Monday,0,12.15,24.2,30.7
